"Individual","Mode","Choice","Airport","DistSYR","DistALB","DistNYC","DistEWR","SafteyPersonal","SafteyTrainBus","SafteyCarpool","SafteyTaxi","SafteySharedTaxi","SafteyCS","SafteySCS","PrivacyPersonal","PrivacyTrainBus","PrivacyCarpool","PrivacyTaxi","PrivacySharedTaxi","PrivacyCS","PrivacySCS","ConviniencePersonal","ConvinienceTrainBus","ConvinienceCarpool","ConvinienceTaxi","ConvinienceSharedTaxi","ConvinienceCS","ConvinienceSCS","TimePersonal","TimeTrainBus","TimeCarpool","TimeTaxi","TimeSharedTaxi","TimeCS","TimeSCS","flightsYear","daysBreturn","luggage","ownVehicle","incomeB","familySize","ageB","shuttleMaxPersonsB","payUticaSYR","payUticaALB","CostPersonal","CostTrainBus","CostCarpool","CostTaxi","CostSharedTaxi","CostCS","CostSCS","random","Saftey","Privacy","Convinience","Time"
6,"Carpool",1,2,210,116,53,59,10,7,9,5,6,5,5,10,6,9,5,5,5,5,9,7,10,7,7,7,7,"20000","30000","20000","23000","23000","23000","23000",2,6,2,1,10,1,20,5,35,35,"35  ","50  "," ","50 ","50 ","60 ","40 ",60,9,9,10,"20000"
6,"Personal",0,2,210,116,53,59,10,7,9,5,6,5,5,10,6,9,5,5,5,5,9,7,10,7,7,7,7,"20000","30000","20000","23000","23000","23000","23000",2,6,2,1,10,1,20,5,35,35,"35  ","50  "," ","50 ","50 ","60 ","40 ",60,10,10,9,"20000"
6,"TrainBus",0,2,210,116,53,59,10,7,9,5,6,5,5,10,6,9,5,5,5,5,9,7,10,7,7,7,7,"20000","30000","20000","23000","23000","23000","23000",2,6,2,1,10,1,20,5,35,35,"35  ","50  "," ","50 ","50 ","60 ","40 ",60,7,6,7,"30000"
6,"Taxi",0,2,210,116,53,59,10,7,9,5,6,5,5,10,6,9,5,5,5,5,9,7,10,7,7,7,7,"20000","30000","20000","23000","23000","23000","23000",2,6,2,1,10,1,20,5,35,35,"35  ","50  "," ","50 ","50 ","60 ","40 ",60,5,5,7,"23000"
7,"Carpool",1,2,300,170,50,70,9,8,8,6,6,7,7,10,1,8,4,4,6,6,10,7,7,1,1,8,6,"10000","13000","10000","10000","10000","10000","10000",2,7,2,0,10,4,20,50,5,7,"20","12.5","20","20","20","25","25",9,8,8,7,"10000"
7,"Personal",0,2,300,170,50,70,9,8,8,6,6,7,7,10,1,8,4,4,6,6,10,7,7,1,1,8,6,"10000","13000","10000","10000","10000","10000","10000",2,7,2,0,10,4,20,50,5,7,"20","12.5","20","20","20","25","25",9,9,10,10,"10000"
7,"TrainBus",0,2,300,170,50,70,9,8,8,6,6,7,7,10,1,8,4,4,6,6,10,7,7,1,1,8,6,"10000","13000","10000","10000","10000","10000","10000",2,7,2,0,10,4,20,50,5,7,"20","12.5","20","20","20","25","25",9,8,1,7,"13000"
7,"Taxi",0,2,300,170,50,70,9,8,8,6,6,7,7,10,1,8,4,4,6,6,10,7,7,1,1,8,6,"10000","13000","10000","10000","10000","10000","10000",2,7,2,0,10,4,20,50,5,7,"20","12.5","20","20","20","25","25",9,6,4,1,"10000"
8,"Carpool",0,2,150,70,70,70,9,9,9,7,7,7,7,10,6,8,6,6,7,7,10,4,8,5,5,6,6,"13000","30000","13000","20000","20000","20000","20000",4,7,2,1,10,5,20,50,20,20,"25","40","25","40","100","100","100",96,9,8,8,"13000"
8,"Personal",1,2,150,70,70,70,9,9,9,7,7,7,7,10,6,8,6,6,7,7,10,4,8,5,5,6,6,"13000","30000","13000","20000","20000","20000","20000",4,7,2,1,10,5,20,50,20,20,"25","40","25","40","100","100","100",96,9,10,10,"13000"
