"Individual","Mode","Choice","DistEWR","DistSYR","DistNYC","DistALB","flightsYear","daysBreturn","luggage","ownVehicle","incomeB","familySize","ageB","shuttleMaxPersonsB","payUticaSYR","payUticaALB","Cost","Time","Convinience","Privacy","Saftey","Airport"
66,"TrainBus",1,NA,10,200,10,10,6,1,1,10,2,25,10,20,30,20,40000,7,4,7,2
66,"Taxi",0,NA,10,200,10,10,6,1,1,10,2,25,10,20,30,200,30000,9,6,8,2
67,"Carpool",0,NA,65,250,95,12,6,2,1,100,3,65,50,30,30,20,13000,9,6,7,1
67,"Personal",1,NA,65,250,95,12,6,2,1,100,3,65,50,30,30,30,13000,10,10,8,1
67,"TrainBus",0,NA,65,250,95,12,6,2,1,100,3,65,50,30,30,NA,20000,7,6,9,1
67,"Taxi",0,NA,65,250,95,12,6,2,1,100,3,65,50,30,30,60,20000,8,7,6,1
68,"Carpool",0,NA,55,260,95,3,4,1,0,10,4,20,10,20,35,50,50000,10,10,8,2
68,"Personal",0,NA,55,260,95,3,4,1,0,10,4,20,10,20,35,100,50000,10,10,8,2
68,"TrainBus",0,NA,55,260,95,3,4,1,0,10,4,20,10,20,35,500,70000,10,10,8,2
68,"Taxi",1,NA,55,260,95,3,4,1,0,10,4,20,10,20,35,50,70000,10,10,10,2
69,"Carpool",0,NA,40,300,90,5,7,2,1,10,2,65,10,35,50,40,10000,7,6,9,3
69,"Personal",1,NA,40,300,90,5,7,2,1,10,2,65,10,35,50,20,4000,10,10,10,3
69,"TrainBus",0,NA,40,300,90,5,7,2,1,10,2,65,10,35,50,40,4500,8,7,9,3
69,"Taxi",0,NA,40,300,90,5,7,2,1,10,2,65,10,35,50,40,4000,5,3,5,3
70,"Carpool",1,NA,55,260,95,8,5,1,0,40,2,25,50,25,25,NA,NA,7,7,6,3
70,"Personal",0,NA,55,260,95,8,5,1,0,40,2,25,50,25,25,NA,NA,3,10,7,3
70,"TrainBus",0,NA,55,260,95,8,5,1,0,40,2,25,50,25,25,NA,NA,7,3,10,3
70,"Taxi",0,NA,55,260,95,8,5,1,0,40,2,25,50,25,25,NA,NA,6,4,7,3
71,"Carpool",0,NA,65,180,70,10,5,3,1,40,2,40,50,25,25,NA,0,9,7,9,3
71,"Personal",1,NA,65,180,70,10,5,3,1,40,2,40,50,25,25,NA,13000,9,9,7,3
71,"TrainBus",0,NA,65,180,70,10,5,3,1,40,2,40,50,25,25,NA,0,6,10,10,3
71,"Taxi",0,NA,65,180,70,10,5,3,1,40,2,40,50,25,25,NA,NA,1,9,9,3
72,"Carpool",0,NA,65,400,150,4,15,1,0,10,4,20,10,60,125,NA,10000,6,3,6,3
72,"Personal",0,NA,65,400,150,4,15,1,0,10,4,20,10,60,125,NA,10000,6,1,9,3
72,"TrainBus",0,NA,65,400,150,4,15,1,0,10,4,20,10,60,125,NA,20000,6,3,5,3
72,"Taxi",1,NA,65,400,150,4,15,1,0,10,4,20,10,60,125,NA,11500,6,6,6,3
73,"Carpool",0,NA,115,170,15,4,3,1,0,40,1,40,10,25,30,NA,2500,4,3,5,1
73,"Personal",0,NA,115,170,15,4,3,1,0,40,1,40,10,25,30,NA,2500,10,10,5,1
73,"TrainBus",0,NA,115,170,15,4,3,1,0,40,1,40,10,25,30,NA,800,6,3,7,1
73,"Taxi",1,NA,115,170,15,4,3,1,0,40,1,40,10,25,30,NA,2500,6,5,6,1
74,"Carpool",0,NA,115,170,15,4,3,1,0,40,1,40,10,25,30,NA,2500,4,3,5,1
74,"Personal",0,NA,115,170,15,4,3,1,0,40,1,40,10,25,30,NA,2500,10,10,5,1
74,"TrainBus",0,NA,115,170,15,4,3,1,0,40,1,40,10,25,30,NA,800,6,3,7,1
74,"Taxi",1,NA,115,170,15,4,3,1,0,40,1,40,10,25,30,NA,2500,6,5,6,1
