"Individual","Mode","Choice","DistEWR","DistSYR","DistNYC","DistALB","flightsYear","daysBreturn","luggage","ownVehicle","incomeB","familySize","ageB","shuttleMaxPersonsB","payUticaSYR","payUticaALB","Cost","Time","Convinience","Privacy","Saftey","Airport"
15,"Taxi",0,200,60,200,100,0,0,0,1,10,1,40,50,10,15,100,14500,5,5,8,3
16,"Carpool",1,177,45,188,77,3,25,2,0,10,4,20,15,30,40,NA,43000,9,8,9,2
16,"Personal",0,177,45,188,77,3,25,2,0,10,4,20,15,30,40,NA,40000,8,10,9,2
16,"TrainBus",0,177,45,188,77,3,25,2,0,10,4,20,15,30,40,NA,60000,8,6,9,2
16,"Taxi",0,177,45,188,77,3,25,2,0,10,4,20,15,30,40,NA,40000,8,7,9,2
17,"Carpool",0,228,70,241,80,0,0,1,1,10,2,20,50,40,40,0,11000,8,3,5,3
17,"Personal",1,228,70,241,80,0,0,1,1,10,2,20,50,40,40,70,10000,5,10,8,3
17,"TrainBus",0,228,70,241,80,0,0,1,1,10,2,20,50,40,40,50,13000,7,3,10,3
17,"Taxi",0,228,70,241,80,0,0,1,1,10,2,20,50,40,40,40,11000,7,6,8,3
18,"Carpool",1,242,56,255,92,0,NA,2,1,10,4,20,15,30,40,40,10000,8,2,7,3
18,"Personal",0,242,56,255,92,0,NA,2,1,10,4,20,15,30,40,20,10000,10,10,7,3
18,"TrainBus",0,242,56,255,92,0,NA,2,1,10,4,20,15,30,40,20,13000,7,2,8,3
18,"Taxi",0,242,56,255,92,0,NA,2,1,10,4,20,15,30,40,50,11500,8,2,6,3
19,"Carpool",0,248,50,254,98,2,2,2,1,10,1,25,5,30,50,15,20000,4,5,8,3
19,"Personal",1,248,50,254,98,2,2,2,1,10,1,25,5,30,50,25,11500,9,4,7,3
19,"TrainBus",0,248,50,254,98,2,2,2,1,10,1,25,5,30,50,15,23000,2,6,6,3
19,"Taxi",0,248,50,254,98,2,2,2,1,10,1,25,5,30,50,25,20000,3,6,8,3
20,"Carpool",1,245,56,251,94,7,8,1,1,10,4,20,5,5,5,5,4500,2,5,7,2
20,"Personal",0,245,56,251,94,7,8,1,1,10,4,20,5,5,5,10,3000,10,10,8,2
20,"TrainBus",0,245,56,251,94,7,8,1,1,10,4,20,5,5,5,15,4500,2,5,7,2
20,"Taxi",0,245,56,251,94,7,8,1,1,10,4,20,5,5,5,15,4500,2,5,4,2
21,"Carpool",0,145,120,150,30,0,8,2,1,10,5,20,50,15,10,5,4500,4,4,8,1
21,"Personal",1,145,120,150,30,0,8,2,1,10,5,20,50,15,10,10,3000,10,10,10,1
21,"TrainBus",0,145,120,150,30,0,8,2,1,10,5,20,50,15,10,3,10000,8,10,10,1
21,"Taxi",0,145,120,150,30,0,8,2,1,10,5,20,50,15,10,30,3000,9,4,7,1
22,"Carpool",0,175,150,175,10,9,5,2,1,10,5,20,50,0,10,0,1000,6,5,5,1
22,"Personal",0,175,150,175,10,9,5,2,1,10,5,20,50,0,10,10,1000,10,10,10,1
22,"TrainBus",0,175,150,175,10,9,5,2,1,10,5,20,50,0,10,15,3000,1,1,10,1
22,"Taxi",1,175,150,175,10,9,5,2,1,10,5,20,50,0,10,15,1000,10,1,8,1
23,"Carpool",0,330,80,314,200,1,2,1,1,10,3,10,5,0,0,0,300000,5,5,6,3
23,"Personal",1,330,80,314,200,1,2,1,1,10,3,10,5,0,0,75,3000,10,10,7,3
23,"TrainBus",0,330,80,314,200,1,2,1,1,10,3,10,5,0,0,25,10000,5,5,6,3
23,"Taxi",0,330,80,314,200,1,2,1,1,10,3,10,5,0,0,50,10000,5,5,5,3
24,"Carpool",0,245,50,255,100,2,7,1,1,10,4,20,10,25,50,3,4000,5,7,8,3
24,"Personal",1,245,50,255,100,2,7,1,1,10,4,20,10,25,50,6,4000,10,10,10,3
24,"TrainBus",0,245,50,255,100,2,7,1,1,10,4,20,10,25,50,21,10000,5,5,8,3
24,"Taxi",0,245,50,255,100,2,7,1,1,10,4,20,10,25,50,67,4500,3,7,7,3
25,"Carpool",0,160,150,160,13.5,0,10,2,1,10,5,20,10,10,10,1.62,1500,7,7,7,1
25,"Personal",1,160,150,160,13.5,0,10,2,1,10,5,20,10,10,10,1.62,1000,10,9,9,1
25,"TrainBus",0,160,150,160,13.5,0,10,2,1,10,5,20,10,10,10,NA,3000,6,2,7,1
25,"Taxi",0,160,150,160,13.5,0,10,2,1,10,5,20,10,10,10,NA,1500,6,2,6,1
26,"Carpool",0,NA,50,400,50,8,10,1,1,10,3,10,50,25,25,5,10000,8,5,6,3
26,"Personal",0,NA,50,400,50,8,10,1,1,10,3,10,50,25,25,50,10000,10,6,7,3
26,"TrainBus",0,NA,50,400,50,8,10,1,1,10,3,10,50,25,25,50,13000,6,5,8,3
26,"Taxi",1,NA,50,400,50,8,10,1,1,10,3,10,50,25,25,80,13000,5,6,5,3
27,"Carpool",1,250,56,255,92,NA,7,2,1,10,6,20,10,20,27.5,0,43000,9,9,9,2
27,"Personal",0,250,56,255,92,NA,7,2,1,10,6,20,10,20,27.5,25,43000,10,10,9,2
27,"TrainBus",0,250,56,255,92,NA,7,2,1,10,6,20,10,20,27.5,40,53000,6,7,8,2
27,"Taxi",0,250,56,255,92,NA,7,2,1,10,6,20,10,20,27.5,100,50000,7,6,7,2
28,"Carpool",1,245,12,251,97,1,7,2,1,100,4,20,50,50,50,5,10000,9,9,8,1
28,"Personal",0,245,12,251,97,1,7,2,1,100,4,20,50,50,50,50,10000,10,10,10,1
28,"TrainBus",0,245,12,251,97,1,7,2,1,100,4,20,50,50,50,20,30000,5,5,10,1
28,"Taxi",0,245,12,251,97,1,7,2,1,100,4,20,50,50,50,40,10000,7,5,7,1
29,"Carpool",1,NA,53,246,100,5,3,1,1,10,4,20,15,7,7,5,3000,7,8,9,3
29,"Personal",0,NA,53,246,100,5,3,1,1,10,4,20,15,7,7,10,3000,10,10,10,3
29,"TrainBus",0,NA,53,246,100,5,3,1,1,10,4,20,15,7,7,15,13000,1,1,10,3
29,"Taxi",0,NA,53,246,100,5,3,1,1,10,4,20,15,7,7,20,4500,6,8,9,3
30,"Carpool",0,177,45,188,77,1,14,2,0,10,5,20,10,10,10,0,4500,8,5,8,2
30,"Personal",1,177,45,188,77,1,14,2,0,10,5,20,10,10,10,20,4500,10,10,9,2
30,"TrainBus",0,177,45,188,77,1,14,2,0,10,5,20,10,10,10,2.75,10000,7,4,4,2
30,"Taxi",0,177,45,188,77,1,14,2,0,10,5,20,10,10,10,20,4500,8,4,4,2
31,"Carpool",0,297,97,307,144,0,7,1,1,10,5,20,50,10,15,10,14500,7,9,7,3
31,"Personal",1,297,97,307,144,0,7,1,1,10,5,20,50,10,15,10,13000,10,10,8,3
31,"TrainBus",0,297,97,307,144,0,7,1,1,10,5,20,50,10,15,80,20000,9,8,9,3
31,"Taxi",0,297,97,307,144,0,7,1,1,10,5,20,50,10,15,90,20000,9,8,9,3
32,"Carpool",0,200,150,200,45,0,0,0,0,10,4,20,10,30,30,15,4000,10,8,8,1
32,"Personal",1,200,150,200,45,0,0,0,0,10,4,20,10,30,30,15,4000,10,10,10,1
32,"TrainBus",0,200,150,200,45,0,0,0,0,10,4,20,10,30,30,40,0,10,8,8,1
32,"Taxi",0,200,150,200,45,0,0,0,0,10,4,20,10,30,30,100,4000,5,4,5,1
33,"Carpool",1,110,200,125,150,2,14,1,1,10,4,20,10,5,5,2,2000,10,10,9,2
33,"Personal",0,110,200,125,150,2,14,1,1,10,4,20,10,5,5,2,2000,10,10,8,2
33,"TrainBus",0,110,200,125,150,2,14,1,1,10,4,20,10,5,5,10,20000,1,1,5,2
33,"Taxi",0,110,200,125,150,2,14,1,1,10,4,20,10,5,5,10,2000,1,1,7,2
34,"Carpool",1,244.5,54,230.5,87,8,14,2,0,10,5,20,5,24,20,11,52516,10,3,9,2
34,"Personal",0,244.5,54,230.5,87,8,14,2,0,10,5,20,5,24,20,20,41006,9,10,10,2
34,"TrainBus",0,244.5,54,230.5,87,8,14,2,0,10,5,20,5,24,20,15,122545,8,1,7,2
34,"Taxi",0,244.5,54,230.5,87,8,14,2,0,10,5,20,5,24,20,45,42335,7,1,5,2
35,"Carpool",0,315,60,340,170,10,10,1,1,10,4,20,10,30,40,0,20000,6,6,4,3
35,"Personal",1,315,60,340,170,10,10,1,1,10,4,20,10,30,40,30,13000,10,10,5,3
35,"TrainBus",0,315,60,340,170,10,10,1,1,10,4,20,10,30,40,20,13000,6,4,8,3
35,"Taxi",0,315,60,340,170,10,10,1,1,10,4,20,10,30,40,150,13000,5,4,4,3
36,"Carpool",0,247,53,253,97,0,7,2,1,10,4,20,10,20,30,20,13000,9,5,5,1
36,"Personal",1,247,53,253,97,0,7,2,1,10,4,20,10,20,30,20,13000,10,6,6,1
36,"TrainBus",0,247,53,253,97,0,7,2,1,10,4,20,10,20,30,50,14500,7,5,8,1
36,"Taxi",0,247,53,253,97,0,7,2,1,10,4,20,10,20,30,60,14500,5,7,5,1
37,"Carpool",0,240,55,250,90,0,7,2,1,10,2,20,15,20,80,0,4500,6,6,10,3
37,"Personal",1,240,55,250,90,0,7,2,1,10,2,20,15,20,80,20,4500,10,7,10,3
37,"TrainBus",0,240,55,250,90,0,7,2,1,10,2,20,15,20,80,100,13000,7,6,6,3
37,"Taxi",0,240,55,250,90,0,7,2,1,10,2,20,15,20,80,150,4500,3,6,6,3
38,"Carpool",1,300,100,300,100,20,7,1,1,10,3,10,5,20,20,20,10000,9,5,8,3
38,"Personal",0,300,100,300,100,20,7,1,1,10,3,10,5,20,20,100,10000,8,5,7,3
38,"TrainBus",0,300,100,300,100,20,7,1,1,10,3,10,5,20,20,40,20000,6,4,8,3
38,"Taxi",0,300,100,300,100,20,7,1,1,10,3,10,5,20,20,80,10000,3,3,5,3
39,"Carpool",1,14,265,25,174,0,0,0,1,10,5,20,10,50,60,0,2200,10,9,10,2
39,"Personal",0,14,265,25,174,0,0,0,1,10,5,20,10,50,60,50,2500,10,9,9,2
39,"TrainBus",0,14,265,25,174,0,0,0,1,10,5,20,10,50,60,20,21200,8,8,9,2
39,"Taxi",0,14,265,25,174,0,0,0,1,10,5,20,10,50,60,30,3000,9,8,8,2
40,"Carpool",0,245,58,250,94,2.5,30,3,0,10,2,20,5,20,20,10,13000,9,8,8,2
40,"Personal",1,245,58,250,94,2.5,30,3,0,10,2,20,5,20,20,20,11000,10,10,8,2
40,"TrainBus",0,245,58,250,94,2.5,30,3,0,10,2,20,5,20,20,6,24000,4,2,7,2
40,"Taxi",0,245,58,250,94,2.5,30,3,0,10,2,20,5,20,20,50,13000,6,7,6,2
41,"Carpool",0,33,268,11,160,7,21,1,0,10,5,10,5,60,70,0,4000,10,7,10,2
41,"Personal",0,33,268,11,160,7,21,1,0,10,5,10,5,60,70,0,4000,8,10,10,2
41,"TrainBus",0,33,268,11,160,7,21,1,0,10,5,10,5,60,70,5,10000,8,3,6,2
41,"Taxi",1,33,268,11,160,7,21,1,0,10,5,10,5,60,70,60,4000,9,4,5,2
42,"Carpool",0,178,44,188,77,4,8,2,1,10,4,20,50,0,0,5,20000,1,1,10,3
42,"Personal",1,178,44,188,77,4,8,2,1,10,4,20,50,0,0,12,20000,10,10,10,3
42,"TrainBus",0,178,44,188,77,4,8,2,1,10,4,20,50,0,0,30,50000,1,1,10,3
42,"Taxi",0,178,44,188,77,4,8,2,1,10,4,20,50,0,0,50,23000,1,1,10,3
43,"Carpool",0,NA,55,150,20,5,7,4,1,10,3,20,50,25,10,0,5500,10,10,10,1
43,"Personal",0,NA,55,150,20,5,7,4,1,10,3,20,50,25,10,3,5500,10,10,10,1
43,"TrainBus",0,NA,55,150,20,5,7,4,1,10,3,20,50,25,10,5,20000,10,10,10,1
43,"Taxi",1,NA,55,150,20,5,7,4,1,10,3,20,50,25,10,10,10000,10,10,10,1
44,"Carpool",0,NA,53,246,100,1,3,1,1,10,3,20,15,10,10,0,13800,1,4,8,1
44,"Personal",1,NA,53,246,100,1,3,1,1,10,3,20,15,10,10,30,13800,10,10,10,1
44,"TrainBus",0,NA,53,246,100,1,3,1,1,10,3,20,15,10,10,14,20000,1,1,4,1
44,"Taxi",0,NA,53,246,100,1,3,1,1,10,3,20,15,10,10,25,24000,1,1,1,1
45,"Carpool",1,72,313,52,212,1,5,1,1,10,3,20,10,40,60,15,10000,9,7,8,2
45,"Personal",0,72,313,52,212,1,5,1,1,10,3,20,10,40,60,15,10000,9,8,8,2
45,"TrainBus",0,72,313,52,212,1,5,1,1,10,3,20,10,40,60,25,13000,7,8,8,2
45,"Taxi",0,72,313,52,212,1,5,1,1,10,3,20,10,40,60,50,10000,8,8,9,2
46,"Carpool",0,245,50,260,95,3,7,1,0,10,3,25,50,30,45,35,10000,5,4,6,3
46,"Personal",0,245,50,260,95,3,7,1,0,10,3,25,50,30,45,20,10000,10,10,8,3
46,"TrainBus",0,245,50,260,95,3,7,1,0,10,3,25,50,30,45,30,10000,3,4,8,3
46,"Taxi",1,245,50,260,95,3,7,1,0,10,3,25,50,30,45,70,10000,5,4,7,3
47,"Carpool",0,247,51,260,96,4,6,1,1,40,2,20,10,20,30,0,10000,7,9,5,3
47,"Personal",1,247,51,260,96,4,6,1,1,40,2,20,10,20,30,15,10000,7,10,5,3
47,"TrainBus",0,247,51,260,96,4,6,1,1,40,2,20,10,20,30,60,20000,5,2,9,3
47,"Taxi",0,247,51,260,96,4,6,1,1,40,2,20,10,20,30,50,10000,4,4,4,3
48,"Carpool",0,268,56,255,96,1,3,1,1,10,2,40,5,NA,NA,10,21000,8,9,6,3
48,"Personal",0,268,56,255,96,1,3,1,1,10,2,40,5,NA,NA,810,10500,10,10,10,3
48,"TrainBus",0,268,56,255,96,1,3,1,1,10,2,40,5,NA,NA,25,43000,4,9,8,3
48,"Taxi",1,268,56,255,96,1,3,1,1,10,2,40,5,NA,NA,NA,120000,8,4,5,3
49,"Carpool",0,260,60,260,100,3,5,1,1,40,5,65,50,50,60,NA,0,5,7,7,3
49,"Personal",1,260,60,260,100,3,5,1,1,40,5,65,50,50,60,60,11000,7,10,10,3
49,"TrainBus",0,260,60,260,100,3,5,1,1,40,5,65,50,50,60,NA,0,7,5,10,3
49,"Taxi",0,260,60,260,100,3,5,1,1,40,5,65,50,50,60,NA,0,7,6,7,3
50,"Carpool",0,NA,50,230,100,20,10,1,1,100,5,40,5,50,75,30,10000,9,10,8,3
50,"Personal",0,NA,50,230,100,20,10,1,1,100,5,40,5,50,75,60,10000,8,10,10,3
50,"TrainBus",0,NA,50,230,100,20,10,1,1,100,5,40,5,50,75,80,20000,9,2,8,3
